s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
1530.7518184,61.660536,93.0065263,2.491703,0.0014548,47.8234217,3.188233
1532.750189,60.4536395,91.413763,2.4946142,0.0014588,47.9564615,3.166965
1534.7485595,59.2513962,89.8174941,2.4975338,0.0014632,48.0882495,3.143669
1536.74693,58.0538221,88.2177122,2.5004621,0.0014676,48.2187119,3.1195084
1538.7453005,56.8609433,86.614423,2.5033992,0.001472,48.3478235,3.095577
1540.743671,55.6727905,85.0076382,2.5063451,0.0014763,48.4756048,3.0718717
1542.7420416,54.4893802,83.3973507,2.5092998,0.0014807,48.6020754,3.0483895
1544.7404121,53.3107386,81.7835667,2.5122632,0.0014851,48.7272548,3.0251273
1546.7387826,52.1368961,80.1662979,2.5152355,0.0014896,48.8511618,3.0020823
1548.7371531,50.9678697,78.5455378,2.5182166,0.001494,48.973815,2.9792515
1550.7355236,49.8036862,76.921293,2.5212065,0.0014984,49.0952325,2.9566323
1552.7338942,48.6443758,75.2935756,2.5242053,0.0015029,49.215432,2.9342218
1554.7322647,47.489956,73.6623795,2.527213,0.0015073,49.3344309,2.9120173
1556.7306352,46.3404535,72.0277118,2.5302296,0.0015117,49.4522462,2.8900163
1558.7290057,45.1958992,70.3895853,2.5332552,0.0015163,49.5688944,2.8682161
1560.7273762,44.0563103,68.7479929,2.5362899,0.0015207,49.6843921,2.8466142
1562.7257468,42.9217146,67.1029439,2.5393329,0.0015248,49.7987549,2.8252081
1564.7241173,41.7921411,65.4544507,2.542385,0.0015299,49.9119987,2.8039954
1566.7224878,40.6676099,63.8025069,2.5454485,0.0015375,50.0241388,2.7829736
1568.7208583,39.5481601,62.1471147,2.5485323,0.0015488,50.1351901,2.7621404
1570.7192288,38.4338422,60.4882687,2.5516403,0.001562,50.2451674,2.7414935
1572.7175994,37.3247063,58.82595,2.5547752,0.0015751,50.3540851,2.7210307
1574.7159699,36.2208079,57.1601486,2.5579349,0.0015873,50.4619574,2.7007496
1576.7143404,35.1222011,55.4908565,2.5611197,0.0016001,50.5687981,2.6806482
1578.7127109,34.0289359,53.8180576,2.5643301,0.0016129,50.6746208,2.6607241
1580.7110814,32.9410681,52.1417432,2.567566,0.0016256,50.779439,2.6409755
1582.709452,31.8586531,50.4619062,2.5708273,0.0016384,50.8832656,2.6214001
1584.7078225,30.7817426,48.7785321,2.5741143,0.0016512,50.9861135,2.6019959
1586.706193,29.7103925,47.0916136,2.5774268,0.001664,51.0879954,2.582761
1588.7045635,28.6446591,45.4011436,2.5807649,0.0016769,51.1889237,2.5636934
1590.702934,27.5845953,43.7071101,2.5841288,0.0016898,51.2889103,2.544791
1592.7013046,26.5302582,42.009507,2.5875186,0.0017027,51.3879674,2.5260521
1594.6996751,25.4817039,40.3083268,2.590934,0.0017155,51.4861066,2.5074747
1596.6980456,24.4389877,38.6035616,2.5943752,0.0017286,51.5833393,2.489057
1598.6964161,23.4021666,36.8952046,2.597843,0.0017421,51.679677,2.4707972
