s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
1067.3648471,-298.071258,-167.8460485,-0.4023446,-0.0236644,19.6647103,2.6072747
1069.3636577,-297.2445814,-166.0241756,-0.4494267,-0.0232498,19.9279635,2.5187399
1071.3624682,-296.3337555,-164.2424654,-0.4956397,-0.0229023,20.1790162,2.4198579
1073.3612788,-295.3437901,-162.5058099,-0.5401317,-0.0216179,20.4173057,2.7276647
1075.3600894,-294.2799946,-160.8140111,-0.5821126,-0.0204013,20.6826145,3.0055712
1077.3589,-293.1481602,-159.1670125,-0.6216566,-0.0191651,20.9710676,3.2965784
1079.3577105,-291.9537506,-157.5645334,-0.6591053,-0.0183247,21.2829544,3.4164737
1081.3565211,-290.7012911,-156.0066937,-0.6949664,-0.0175962,21.6014332,3.4976077
1083.3553317,-289.3949388,-154.494043,-0.7295262,-0.0169915,21.9226829,3.5334265
1085.3541423,-288.0375482,-153.0262368,-0.7629809,-0.0164927,22.2425117,3.5313526
1087.3529528,-286.6328293,-151.6043239,-0.7955057,-0.0160604,22.5576226,3.5096911
1089.3517634,-285.183155,-150.2282173,-0.8272214,-0.0156811,22.8664985,3.4739097
1091.350574,-283.6903492,-148.8976067,-0.8582194,-0.0153183,23.1681706,3.4421841
1093.3493846,-282.1589774,-147.6145737,-0.8884885,-0.014986,23.4632622,3.40578
1095.3481951,-280.5884942,-146.3768916,-0.918121,-0.0146554,23.7516251,3.3797281
1097.3470057,-278.9823743,-145.1857677,-0.9471802,-0.014454,24.0343622,3.2896089
1099.3458163,-277.3448065,-144.0431418,-0.9759505,-0.0144704,24.3064019,3.0815937
1101.3446269,-275.6714685,-142.9469558,-1.0061821,-0.0157578,24.5585061,2.1191874
1103.3434374,-273.967557,-141.9058317,-1.0387549,-0.0166962,24.7303847,1.4064911
1105.342248,-272.2288309,-140.9213475,-1.0725564,-0.0170194,24.843803,1.1096003
1107.3410586,-270.4597325,-139.996504,-1.1051746,-0.015648,24.9329162,1.8838886
1109.3398692,-268.6604274,-139.1263772,-1.1351546,-0.0144642,25.0834882,2.5061738
1111.3386797,-266.8341781,-138.3076078,-1.1632134,-0.0135955,25.2824072,2.9102269
1113.3374903,-264.9903619,-137.5403533,-1.1894034,-0.0126383,25.5114503,3.3678154
1115.3363009,-263.1252697,-136.8189691,-1.2137747,-0.011756,25.7739665,3.7753116
1117.3351115,-261.2440469,-136.1417695,-1.2364842,-0.0109729,26.0651034,4.1204877
1119.3339221,-259.3484327,-135.5060066,-1.2576597,-0.0102131,26.3791919,4.4581906
1121.3327326,-257.4401982,-134.9090919,-1.2773599,-0.009494,26.7148633,4.7782364
1123.3315432,-255.52165,-134.3487047,-1.2956346,-0.0087995,27.0700111,4.8420091
1125.3303538,-253.5915461,-133.8216172,-1.3125504,-0.0081058,27.4252077,4.8299112
1127.3291644,-251.6560664,-133.3266299,-1.3280587,-0.0074141,27.7749919,4.8178436
1129.3279749,-249.7118489,-132.8599726,-1.3421586,-0.0066892,28.1195677,4.8058062
1131.3267855,-247.7602207,-132.4190592,-1.3548042,-0.005945,28.4591265,4.7937988
