s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
121.882025,240.6407464,-204.2902637,-2.3527825,-0.0121432,22.905915,-5.6713431
123.880091,242.0407331,-205.7158814,-2.3781091,-0.0132314,22.4057472,-5.3873743
125.8781569,243.402485,-207.1779703,-2.4056992,-0.0143873,21.9200559,-5.0228607
127.8762229,244.7215514,-208.6786752,-2.4358132,-0.015779,21.4573259,-4.6812771
129.8742889,245.9926358,-210.2201939,-2.4687599,-0.0171941,21.016894,-4.3682896
131.8723549,247.209996,-211.8044362,-2.5045287,-0.0186136,20.5974166,-4.0720608
133.8704209,248.3676435,-213.4329093,-2.543157,-0.0200571,20.1985415,-3.7912282
135.8684869,249.4590777,-215.1064179,-2.5846995,-0.0215215,19.8199604,-3.5189487
137.8665528,250.4774883,-216.8252007,-2.6291832,-0.0230161,19.4619796,-3.2490797
139.8646188,251.4159311,-218.5892403,-2.6766975,-0.0245487,19.1255038,-3.0122764
141.8626848,252.2666206,-220.3969346,-2.727295,-0.0260322,18.8081749,-2.8340822
143.8607508,253.0221419,-222.2462495,-2.7806482,-0.0273929,18.5046501,-2.6561347
145.8588168,253.6755516,-224.1346869,-2.8367745,-0.0287855,18.2155925,-2.4448023
147.8568828,254.2191148,-226.0570126,-2.8957749,-0.030296,17.9454189,-2.1839885
149.8549487,254.6453051,-228.0085203,-2.9579343,-0.031955,17.7005806,-1.8841601
151.8530147,254.9462028,-229.9840454,-3.0235301,-0.033707,17.4866006,-1.5071426
153.8510807,255.1133255,-231.9744598,-3.09276,-0.0356294,17.313534,-1.0186622
155.8491467,255.1383896,-233.9716169,3.1171474,-0.0377633,17.1955736,-0.6701773
157.8472127,255.0131152,-235.9654772,3.0400615,-0.0392921,17.1175242,-0.3698569
159.8452787,254.7319971,-237.9423823,2.9601881,-0.0405182,17.0742976,-0.1817533
161.8433446,254.2919301,-239.8908117,2.8784877,-0.0412647,17.0530152,-0.1817533
163.8414106,253.6942676,-241.7955116,2.7970907,-0.0399792,17.0317062,0.2215717
165.8394766,252.945993,-243.6477877,2.7187746,-0.0383357,17.05768,0.6638285
167.8375426,252.0578886,-245.4378799,2.6438977,-0.0366316,17.1352617,1.0608162
169.8356086,251.0419413,-247.1568826,2.5721904,-0.0352223,17.2585154,1.3226516
